locator,location,time,Nall,Nmissed,Ncorrect,Nwrong,mergeEquivalent,mergeSuperCSubSpace,mergeTypeChefSubSpace,mergeDisjointOrOverlapping,isTrue
SuperC,splc18challengecase/vbdb/marlin/simple/2d22902.c:11,785,1,0,?,?,0,0,0,0,0
SuperC,splc18challengecase/vbdb/marlin/simple/7336e6d.c:44,801,1,0,?,?,0,0,0,0,0
SuperC,splc18challengecase/vbdb/marlin/simple/7336e6d.c:45,805,1,0,?,?,0,0,0,0,0
SuperC,splc18challengecase/vbdb/marlin/simple/831016b.c:16,246,1,1,0,0,0,0,0,0,0
SuperC,splc18challengecase/vbdb/marlin/simple/8c4377d.c:16,766,1,0,?,?,0,0,0,0,0
SuperC,splc18challengecase/vbdb/marlin/simple/b8e79dc.c:27,803,1,0,?,?,0,0,0,0,0
SuperC,splc18challengecase/vbdb/marlin/simple/fdac8f6.c:9,745,1,0,?,?,0,0,0,0,1
SuperC,splc18challengecase/vbdb/busybox/simple/199501f.c:22,790,1,0,?,?,0,0,0,0,0
SuperC,splc18challengecase/vbdb/busybox/simple/1b487ea.c:15,792,1,0,?,?,0,0,0,0,0
SuperC,splc18challengecase/vbdb/busybox/simple/2631486.c:42,818,1,0,?,?,0,0,0,0,0
SuperC,splc18challengecase/vbdb/busybox/simple/5275b1e.c:25,787,1,0,?,?,0,0,0,0,1
SuperC,splc18challengecase/vbdb/busybox/simple/5cd6461.c:23,814,1,0,?,?,0,0,0,0,1
SuperC,splc18challengecase/vbdb/busybox/simple/9575518.c:48,811,1,0,?,?,0,0,0,0,1
SuperC,splc18challengecase/vbdb/busybox/simple/b7ebc61.c:17,788,1,0,?,?,0,0,0,0,1
SuperC,splc18challengecase/vbdb/busybox/simple/bc0ffc0.c:44,808,1,0,?,?,0,0,0,0,0
SuperC,splc18challengecase/vbdb/busybox/simple/cf1f2ac.c:29,807,1,0,?,?,0,0,0,0,1
SuperC,splc18challengecase/vbdb/busybox/simple/df7b657.c:8,776,1,0,?,?,0,0,0,0,1
SuperC,splc18challengecase/vbdb/busybox/simple/ebee301.c:24,798,1,0,?,?,0,0,0,0,1
SuperC,splc18challengecase/vbdb/linux/simple/0988c4c.c:16,820,1,0,?,?,0,0,0,0,0
SuperC,splc18challengecase/vbdb/linux/simple/0dc77b6.c:38,809,1,0,?,?,0,0,0,0,0
SuperC,splc18challengecase/vbdb/linux/simple/0f8f809.c:39,827,1,0,?,?,0,0,0,0,0
SuperC,splc18challengecase/vbdb/linux/simple/1f758a4.c:40,801,1,0,?,?,0,0,0,0,0
SuperC,splc18challengecase/vbdb/linux/simple/208d898.c:32,833,1,0,?,?,0,0,0,0,0
SuperC,splc18challengecase/vbdb/linux/simple/221ac32.c:37,832,1,0,?,?,0,0,0,0,0
SuperC,splc18challengecase/vbdb/linux/simple/242f1a3.c:18,784,1,0,?,?,0,0,0,0,0
SuperC,splc18challengecase/vbdb/linux/simple/2f02c15.c:18,768,1,0,?,?,0,0,0,0,0
SuperC,splc18challengecase/vbdb/linux/simple/472a474.c:22,784,1,0,?,?,0,0,0,0,1
SuperC,splc18challengecase/vbdb/linux/simple/51fd36f.c:44,825,1,0,?,?,0,0,0,0,0
SuperC,splc18challengecase/vbdb/linux/simple/60e233a.c:27,814,1,0,?,?,0,0,0,0,1
SuperC,splc18challengecase/vbdb/linux/simple/6252547.c:13,784,1,0,?,?,0,0,0,0,0
SuperC,splc18challengecase/vbdb/linux/simple/63878ac.c:17,902,1,0,?,?,0,0,0,0,0
SuperC,splc18challengecase/vbdb/linux/simple/6515e48.c:11,780,1,0,?,?,0,0,0,0,0
SuperC,splc18challengecase/vbdb/linux/simple/657e964.c:69,837,1,0,?,?,0,0,0,0,1
SuperC,splc18challengecase/vbdb/linux/simple/6651791.c:17,818,1,0,?,?,0,0,0,0,0
SuperC,splc18challengecase/vbdb/linux/simple/6651791.c:25,799,1,0,?,?,0,0,0,0,0
SuperC,splc18challengecase/vbdb/linux/simple/6e2b757.c:66,898,1,0,?,?,0,0,0,0,0
SuperC,splc18challengecase/vbdb/linux/simple/76baeeb.c:40,832,1,0,?,?,0,0,0,0,0
SuperC,splc18challengecase/vbdb/linux/simple/76baeeb.c:45,834,1,0,?,?,0,0,0,0,0
SuperC,splc18challengecase/vbdb/linux/simple/7c6048b.c:24,779,1,0,?,?,0,0,0,0,0
SuperC,splc18challengecase/vbdb/linux/simple/8c82962.c:17,817,1,0,?,?,0,0,0,0,0
SuperC,splc18challengecase/vbdb/linux/simple/91ea820.c:40,836,1,0,?,?,0,0,0,0,0
SuperC,splc18challengecase/vbdb/linux/simple/ae249b5.c:20,830,1,0,?,?,0,0,0,0,0
SuperC,splc18challengecase/vbdb/linux/simple/bc8cec0.c:28,790,1,0,?,?,0,0,0,0,0
SuperC,splc18challengecase/vbdb/linux/simple/c708c57.c:21,823,1,0,?,?,0,0,0,0,0
SuperC,splc18challengecase/vbdb/linux/simple/d530db0.c:19,792,1,0,?,?,0,0,0,0,0
SuperC,splc18challengecase/vbdb/linux/simple/d549f55.c:14,852,1,0,?,?,0,0,0,0,0
SuperC,splc18challengecase/vbdb/linux/simple/d6c7e11.c:20,802,1,0,?,?,0,0,0,0,0
SuperC,splc18challengecase/vbdb/linux/simple/d7e9711.c:11,820,1,0,?,?,0,0,0,0,1
SuperC,splc18challengecase/vbdb/linux/simple/e1fbd92.c:17,798,1,0,?,?,0,0,0,0,0
SuperC,splc18challengecase/vbdb/linux/simple/e67bc51.c:12,770,1,0,?,?,0,0,0,0,1
