locator,location,time,Nall,Nmissed,Ncorrect,Nwrong,mergeEquivalent,mergeSuperCSubSpace,mergeTypeChefSubSpace,mergeDisjointOrOverlapping,isTrue
TypeChef + Kmax,busybox-1.18.5/libbb/platform.c:42,2158,1,0,?,?,0,0,0,0,0
TypeChef + Kmax,busybox-1.18.5/libbb/printable.c:12,2037,1,0,?,?,0,0,0,0,1
TypeChef + Kmax,busybox-1.18.5/libbb/progress.c:141,2121,1,0,?,?,0,0,0,0,1
TypeChef + Kmax,busybox-1.18.5/libbb/remove_file.c:51,2144,1,0,?,?,0,0,0,0,1
TypeChef + Kmax,busybox-1.18.5/libbb/run_shell.c:75,2088,1,0,?,?,0,0,0,0,1
TypeChef + Kmax,busybox-1.18.5/libbb/selinux_common.c:32,2065,1,0,?,?,0,0,0,0,0
TypeChef + Kmax,busybox-1.18.5/libbb/str_tolower.c:13,2043,1,0,?,?,0,0,0,0,1
TypeChef + Kmax,busybox-1.18.5/libbb/update_passwd.c:250,2170,1,0,?,?,0,0,0,0,0
TypeChef + Kmax,busybox-1.18.5/libbb/xregcomp.c:31,2108,1,0,?,?,0,0,0,0,0
TypeChef + Kmax,busybox-1.18.5/libpwdgrp/pwd_grp.c:696,2253,1,0,?,?,0,0,0,0,0
TypeChef + Kmax,busybox-1.18.5/loginutils/cryptpw.c:75,2086,1,0,?,?,0,0,0,0,0
TypeChef + Kmax,busybox-1.18.5/loginutils/login.c:61,2125,1,0,?,?,0,0,0,0,0
TypeChef + Kmax,busybox-1.18.5/loginutils/su.c:28,2110,1,0,?,?,0,0,0,0,0
TypeChef + Kmax,busybox-1.18.5/mailutils/sendmail.c:36,2122,1,0,?,?,0,0,0,0,0
TypeChef + Kmax,busybox-1.18.5/miscutils/beep.c:10,2069,1,0,?,?,0,0,0,0,0
TypeChef + Kmax,busybox-1.18.5/miscutils/chrt.c:113,2113,1,0,?,?,0,0,0,0,0
TypeChef + Kmax,busybox-1.18.5/miscutils/crontab.c:86,1976,1,1,0,0,0,0,0,0,0
TypeChef + Kmax,busybox-1.18.5/miscutils/flashcp.c:138,2105,1,0,?,?,0,0,0,0,0
TypeChef + Kmax,busybox-1.18.5/miscutils/inotifyd.c:138,2080,1,0,?,?,0,0,0,0,0
TypeChef + Kmax,busybox-1.18.5/miscutils/man.c:95,2113,1,0,?,?,0,0,0,0,0
TypeChef + Kmax,busybox-1.18.5/miscutils/rfkill.c:107,2123,1,0,?,?,0,0,0,0,0
TypeChef + Kmax,busybox-1.18.5/miscutils/taskset.c:71,2055,1,0,?,?,0,0,0,0,0
TypeChef + Kmax,busybox-1.18.5/miscutils/volname.c:29,2075,1,0,?,?,0,0,0,0,0
TypeChef + Kmax,busybox-1.18.5/miscutils/wall.c:24,2151,1,0,?,?,0,0,0,0,0
TypeChef + Kmax,busybox-1.18.5/modutils/modprobe-small.c:542,2235,1,0,?,?,0,0,0,0,0
TypeChef + Kmax,busybox-1.18.5/networking/libiproute/ip_parse_common_args.c:70,2142,1,0,?,?,0,0,0,0,0
TypeChef + Kmax,busybox-1.18.5/networking/libiproute/ip_parse_common_args.c:74,2155,1,0,?,?,0,0,0,0,0
TypeChef + Kmax,busybox-1.18.5/networking/libiproute/iptunnel.c:441,2347,1,0,?,?,0,0,0,0,0
TypeChef + Kmax,busybox-1.18.5/networking/nameif.c:83,2117,1,0,?,?,0,0,0,0,0
TypeChef + Kmax,busybox-1.18.5/networking/nbd-client.c:14,2064,1,0,?,?,0,0,0,0,0
TypeChef + Kmax,busybox-1.18.5/networking/udhcp/dumpleases.c:1,2152,1,0,?,?,0,0,0,0,0
TypeChef + Kmax,busybox-1.18.5/networking/udhcp/dumpleases.c:47,2295,1,0,?,?,0,0,0,0,0
TypeChef + Kmax,busybox-1.18.5/networking/wget.c:709,1987,1,1,0,0,0,0,0,0,0
TypeChef + Kmax,busybox-1.18.5/procps/sysctl.c:88,2103,1,0,?,?,0,0,0,0,0
TypeChef + Kmax,busybox-1.18.5/procps/watch.c:30,2090,1,0,?,?,0,0,0,0,0
TypeChef + Kmax,busybox-1.18.5/runit/runsvdir.c:79,2162,1,0,?,?,0,0,0,0,0
TypeChef + Kmax,busybox-1.18.5/selinux/selinuxenabled.c:11,2103,1,0,?,?,0,0,0,0,0
TypeChef + Kmax,busybox-1.18.5/shell/shell_common.c:92,2014,1,1,0,0,0,0,0,0,0
TypeChef + Kmax,busybox-1.18.5/sysklogd/klogd.c:37,2137,1,0,?,?,0,0,0,0,0
TypeChef + Kmax,busybox-1.18.5/sysklogd/syslogd_and_logger.c:34,1996,1,1,0,0,0,0,0,0,0
TypeChef + Kmax,busybox-1.18.5/sysklogd/syslogd_and_logger.c:36,2057,1,1,0,0,0,0,0,0,0
TypeChef + Kmax,busybox-1.18.5/util-linux/fdformat.c:69,2073,1,0,?,?,0,0,0,0,0
TypeChef + Kmax,busybox-1.18.5/util-linux/fdisk_sgi.c:357,1444,1,0,?,?,0,0,0,0,0
TypeChef + Kmax,busybox-1.18.5/util-linux/fsck_minix.c:549,2265,1,0,?,?,0,0,0,0,0
TypeChef + Kmax,busybox-1.18.5/util-linux/fsck_minix.c:865,2323,1,0,?,?,0,0,0,0,0
TypeChef + Kmax,busybox-1.18.5/util-linux/hexdump.c:6,2191,1,0,?,?,0,0,0,0,0
TypeChef + Kmax,busybox-1.18.5/util-linux/mkfs_ext2.c:596,2196,1,0,?,?,0,0,0,0,0
TypeChef + Kmax,busybox-1.18.5/util-linux/mkfs_reiser.c:270,2148,1,0,?,?,0,0,0,0,0
TypeChef + Kmax,busybox-1.18.5/util-linux/mkswap.c:135,2077,1,0,?,?,0,0,0,0,0
TypeChef + Kmax,busybox-1.18.5/util-linux/more.c:76,2131,1,0,?,?,0,0,0,0,0
TypeChef + Kmax,busybox-1.18.5/util-linux/more.c:95,2096,1,0,?,?,0,0,0,0,0
TypeChef + Kmax,busybox-1.18.5/util-linux/rdev.c:17,2055,1,0,?,?,0,0,0,0,0
TypeChef + Kmax,busybox-1.18.5/util-linux/volume_id/linux_swap.c:2,2055,1,0,?,?,0,0,0,0,0
SuperC + Kmax,busybox-1.18.5/archival/bbunzip.c:171,1523,1,0,?,?,0,0,0,0,0
SuperC + Kmax,busybox-1.18.5/archival/bbunzip.c:384,1517,1,0,?,?,0,0,0,0,0
SuperC + Kmax,busybox-1.18.5/archival/libarchive/data_extract_to_command.c:88,1355,1,0,?,?,0,0,0,0,0
SuperC + Kmax,busybox-1.18.5/archival/libarchive/get_header_cpio.c:157,1448,1,0,?,?,0,0,0,0,0
SuperC + Kmax,busybox-1.18.5/archival/libarchive/get_header_cpio.c:57,1416,1,0,?,?,0,0,0,0,0
SuperC + Kmax,busybox-1.18.5/archival/libarchive/get_header_tar.c:260,1529,1,0,?,?,0,0,0,0,0
SuperC + Kmax,busybox-1.18.5/archival/libarchive/get_header_tar_gz.c:27,1481,1,0,?,?,0,0,0,0,0
SuperC + Kmax,busybox-1.18.5/archival/rpm2cpio.c:27,1420,1,0,?,?,0,0,0,0,0
SuperC + Kmax,busybox-1.18.5/archival/tar.c:642,1699,1,0,?,?,0,0,0,0,0
SuperC + Kmax,busybox-1.18.5/console-tools/resize.c:1,1393,1,0,?,?,0,0,0,0,0
SuperC + Kmax,busybox-1.18.5/console-tools/setconsole.c:24,1384,1,0,?,?,0,0,0,0,0
SuperC + Kmax,busybox-1.18.5/console-tools/setconsole.c:27,1419,1,0,?,?,0,0,0,0,0
SuperC + Kmax,busybox-1.18.5/console-tools/setlogcons.c:21,1418,1,0,?,?,0,0,0,0,0
SuperC + Kmax,busybox-1.18.5/coreutils/chroot.c:29,1382,1,0,?,?,0,0,0,0,0
SuperC + Kmax,busybox-1.18.5/coreutils/cksum.c:62,1439,1,0,?,?,0,0,0,0,0
SuperC + Kmax,busybox-1.18.5/coreutils/comm.c:83,1457,1,0,?,?,0,0,0,0,0
SuperC + Kmax,busybox-1.18.5/coreutils/date.c:281,1554,1,0,?,?,0,0,0,0,0
SuperC + Kmax,busybox-1.18.5/coreutils/fsync.c:8,1395,1,0,?,?,0,0,0,0,0
SuperC + Kmax,busybox-1.18.5/coreutils/libcoreutils/getopt_mk_fifo_nod.c:47,1386,1,0,?,?,0,0,0,0,0
SuperC + Kmax,busybox-1.18.5/coreutils/nice.c:18,1411,1,0,?,?,0,0,0,0,0
SuperC + Kmax,busybox-1.18.5/coreutils/sleep.c:66,1413,1,0,?,?,0,0,0,0,0
SuperC + Kmax,busybox-1.18.5/coreutils/stty.c:357,1800,1,0,?,?,0,0,0,0,0
SuperC + Kmax,busybox-1.18.5/coreutils/stty.c:7,1774,1,0,?,?,0,0,0,0,0
SuperC + Kmax,busybox-1.18.5/coreutils/sum.c:58,1458,1,0,?,?,0,0,0,0,0
SuperC + Kmax,busybox-1.18.5/coreutils/sum.c:8,1412,1,0,?,?,0,0,0,0,0
SuperC + Kmax,busybox-1.18.5/coreutils/sync.c:4,1379,1,0,?,?,0,0,0,0,0
SuperC + Kmax,busybox-1.18.5/coreutils/tail.c:286,1434,1,0,?,?,0,0,0,0,0
SuperC + Kmax,busybox-1.18.5/coreutils/test_ptr_hack.c:9,1120,1,0,?,?,0,0,0,0,0
SuperC + Kmax,busybox-1.18.5/coreutils/tr.c:197,1400,1,0,?,?,0,0,0,0,0
SuperC + Kmax,busybox-1.18.5/coreutils/uniq.c:85,1458,1,0,?,?,0,0,0,0,0
SuperC + Kmax,busybox-1.18.5/coreutils/whoami.c:23,1382,1,0,?,?,0,0,0,0,0
SuperC + Kmax,busybox-1.18.5/e2fsprogs/old_e2fsprogs/ext2fs/swapfs.c:111,1250,1,0,?,?,0,0,0,0,0
SuperC + Kmax,busybox-1.18.5/e2fsprogs/old_e2fsprogs/ext2fs/unix_io.c:628,1298,1,0,?,?,0,0,0,0,0
SuperC + Kmax,busybox-1.18.5/editors/awk.c:2237,1901,1,0,?,?,0,0,0,0,0
SuperC + Kmax,busybox-1.18.5/editors/ed.c:223,1609,1,0,?,?,0,0,0,0,0
SuperC + Kmax,busybox-1.18.5/editors/patch.c:423,1475,1,0,?,?,0,0,0,0,0
SuperC + Kmax,busybox-1.18.5/init/halt.c:64,1438,1,0,?,?,0,0,0,0,0
SuperC + Kmax,busybox-1.18.5/init/mesg.c:20,1425,1,0,?,?,0,0,0,0,0
SuperC + Kmax,busybox-1.18.5/libbb/compare_string_array.c:82,1425,1,0,?,?,0,0,0,0,1
SuperC + Kmax,busybox-1.18.5/libbb/copy_file.c:37,1468,1,0,?,?,0,0,0,0,1
SuperC + Kmax,busybox-1.18.5/libbb/copyfd.c:61,1419,1,0,?,?,0,0,0,0,1
SuperC + Kmax,busybox-1.18.5/libbb/dump.c:288,1572,1,0,?,?,0,0,0,0,1
SuperC + Kmax,busybox-1.18.5/libbb/fgets_str.c:57,1380,1,0,?,?,0,0,0,0,1
SuperC + Kmax,busybox-1.18.5/libbb/find_pid_by_name.c:2,1451,1,0,?,?,0,0,0,0,1
SuperC + Kmax,busybox-1.18.5/libbb/obscure.c:138,1440,1,0,?,?,0,0,0,0,1
SuperC + Kmax,busybox-1.18.5/libbb/obscure.c:20,1429,1,0,?,?,0,0,0,0,1
SuperC + Kmax,busybox-1.18.5/libbb/perror_nomsg.c:21,1227,1,0,?,?,0,0,0,0,1
SuperC + Kmax,busybox-1.18.5/libbb/platform.c:42,1422,1,0,?,?,0,0,0,0,0
SuperC + Kmax,busybox-1.18.5/libbb/printable.c:12,1390,1,0,?,?,0,0,0,0,1
SuperC + Kmax,busybox-1.18.5/libbb/progress.c:141,1376,1,0,?,?,0,0,0,0,1
SuperC + Kmax,busybox-1.18.5/libbb/remove_file.c:51,1351,1,0,?,?,0,0,0,0,1
SuperC + Kmax,busybox-1.18.5/libbb/run_shell.c:75,1343,1,0,?,?,0,0,0,0,1
SuperC + Kmax,busybox-1.18.5/libbb/selinux_common.c:32,1368,1,0,?,?,0,0,0,0,0
SuperC + Kmax,busybox-1.18.5/libbb/str_tolower.c:13,1310,1,0,?,?,0,0,0,0,1
SuperC + Kmax,busybox-1.18.5/libbb/update_passwd.c:250,1465,1,0,?,?,0,0,0,0,0
SuperC + Kmax,busybox-1.18.5/libbb/xregcomp.c:31,1381,1,0,?,?,0,0,0,0,0
SuperC + Kmax,busybox-1.18.5/libpwdgrp/pwd_grp.c:696,1660,1,0,?,?,0,0,0,0,0
SuperC + Kmax,busybox-1.18.5/loginutils/cryptpw.c:75,1473,1,0,?,?,0,0,0,0,0
SuperC + Kmax,busybox-1.18.5/loginutils/login.c:61,1551,1,0,?,?,0,0,0,0,0
SuperC + Kmax,busybox-1.18.5/loginutils/su.c:28,1427,1,0,?,?,0,0,0,0,0
SuperC + Kmax,busybox-1.18.5/mailutils/sendmail.c:36,1459,1,0,?,?,0,0,0,0,0
SuperC + Kmax,busybox-1.18.5/miscutils/beep.c:10,1409,1,0,?,?,0,0,0,0,0
SuperC + Kmax,busybox-1.18.5/miscutils/chrt.c:113,1342,1,0,?,?,0,0,0,0,0
SuperC + Kmax,busybox-1.18.5/miscutils/crontab.c:86,1491,1,0,?,?,0,0,0,0,0
SuperC + Kmax,busybox-1.18.5/miscutils/flashcp.c:138,1351,1,0,?,?,0,0,0,0,0
SuperC + Kmax,busybox-1.18.5/miscutils/inotifyd.c:138,1438,1,0,?,?,0,0,0,0,0
SuperC + Kmax,busybox-1.18.5/miscutils/man.c:95,1466,1,0,?,?,0,0,0,0,0
SuperC + Kmax,busybox-1.18.5/miscutils/rfkill.c:107,1351,1,0,?,?,0,0,0,0,0
SuperC + Kmax,busybox-1.18.5/miscutils/taskset.c:71,1414,1,0,?,?,0,0,0,0,0
SuperC + Kmax,busybox-1.18.5/miscutils/volname.c:29,1376,1,0,?,?,0,0,0,0,0
SuperC + Kmax,busybox-1.18.5/miscutils/wall.c:24,1443,1,0,?,?,0,0,0,0,0
SuperC + Kmax,busybox-1.18.5/modutils/modprobe-small.c:542,1547,1,0,?,?,0,0,0,0,0
SuperC + Kmax,busybox-1.18.5/networking/libiproute/ip_parse_common_args.c:70,1403,1,0,?,?,0,0,0,0,0
SuperC + Kmax,busybox-1.18.5/networking/libiproute/ip_parse_common_args.c:74,1363,1,0,?,?,0,0,0,0,0
SuperC + Kmax,busybox-1.18.5/networking/libiproute/iptunnel.c:441,1500,1,0,?,?,0,0,0,0,0
SuperC + Kmax,busybox-1.18.5/networking/nameif.c:83,1480,1,0,?,?,0,0,0,0,0
SuperC + Kmax,busybox-1.18.5/networking/nbd-client.c:14,1448,1,0,?,?,0,0,0,0,0
SuperC + Kmax,busybox-1.18.5/networking/udhcp/dumpleases.c:1,1553,1,0,?,?,0,0,0,0,0
SuperC + Kmax,busybox-1.18.5/networking/udhcp/dumpleases.c:47,1462,1,0,?,?,0,0,0,0,0
SuperC + Kmax,busybox-1.18.5/networking/wget.c:709,1630,1,0,?,?,0,0,0,0,0
SuperC + Kmax,busybox-1.18.5/procps/sysctl.c:88,1421,1,0,?,?,0,0,0,0,0
SuperC + Kmax,busybox-1.18.5/procps/watch.c:30,1434,1,0,?,?,0,0,0,0,0
SuperC + Kmax,busybox-1.18.5/runit/runsvdir.c:79,1508,1,0,?,?,0,0,0,0,0
SuperC + Kmax,busybox-1.18.5/selinux/selinuxenabled.c:11,1421,1,0,?,?,0,0,0,0,0
SuperC + Kmax,busybox-1.18.5/shell/shell_common.c:92,1099,1,1,0,0,0,0,0,0,0
SuperC + Kmax,busybox-1.18.5/sysklogd/klogd.c:37,1460,1,0,?,?,0,0,0,0,0
SuperC + Kmax,busybox-1.18.5/sysklogd/syslogd_and_logger.c:34,1046,1,1,0,0,0,0,0,0,0
SuperC + Kmax,busybox-1.18.5/sysklogd/syslogd_and_logger.c:36,1005,1,1,0,0,0,0,0,0,0
SuperC + Kmax,busybox-1.18.5/util-linux/fdformat.c:69,1462,1,0,?,?,0,0,0,0,0
SuperC + Kmax,busybox-1.18.5/util-linux/fdisk_sgi.c:357,1237,1,0,?,?,0,0,0,0,0
SuperC + Kmax,busybox-1.18.5/util-linux/fsck_minix.c:549,1655,1,0,?,?,0,0,0,0,0
SuperC + Kmax,busybox-1.18.5/util-linux/fsck_minix.c:865,1630,1,0,?,?,0,0,0,0,0
SuperC + Kmax,busybox-1.18.5/util-linux/hexdump.c:6,1416,1,0,?,?,0,0,0,0,0
SuperC + Kmax,busybox-1.18.5/util-linux/mkfs_ext2.c:596,1519,1,0,?,?,0,0,0,0,0
SuperC + Kmax,busybox-1.18.5/util-linux/mkfs_reiser.c:270,1647,1,0,?,?,0,0,0,0,0
SuperC + Kmax,busybox-1.18.5/util-linux/mkswap.c:135,1686,1,0,?,?,0,0,0,0,0
SuperC + Kmax,busybox-1.18.5/util-linux/more.c:76,1459,1,0,?,?,0,0,0,0,0
SuperC + Kmax,busybox-1.18.5/util-linux/more.c:95,1477,1,0,?,?,0,0,0,0,0
SuperC + Kmax,busybox-1.18.5/util-linux/rdev.c:17,1303,1,0,?,?,0,0,0,0,0
SuperC + Kmax,busybox-1.18.5/util-linux/volume_id/linux_swap.c:2,1818,1,0,?,?,0,0,0,0,0
FeatureCoPP + Kmax,busybox-1.18.5/archival/bbunzip.c:171,1072,1,0,?,?,0,0,0,0,0
FeatureCoPP + Kmax,busybox-1.18.5/archival/bbunzip.c:384,1073,1,0,?,?,0,0,0,0,0
FeatureCoPP + Kmax,busybox-1.18.5/archival/libarchive/data_extract_to_command.c:88,941,1,0,?,?,0,0,0,0,0
FeatureCoPP + Kmax,busybox-1.18.5/archival/libarchive/get_header_cpio.c:157,944,1,0,?,?,0,0,0,0,0
